URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.de/ValueSet/bfarm/icd-10-gm,1.5.4,active,,ICD10GMVS,ICD10GM ValueSet,"ICD-10-GM","StructureDefinition/mii-pr-onko-operation,StructureDefinition/mii-pr-onko-mamma-operation,StructureDefinition/mii-pr-onko-prostata-operation,StructureDefinition/mii-pr-onko-mamma-sozialdienst,StructureDefinition/mii-pr-onko-melanom-exzision,StructureDefinition/mii-pr-onko-krk-operation","de.basisprofil.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-beurteilung-lokaler-residualstatus,2026.0.3,active,,MII_VS_Onko_Beurteilung_Lokaler_Residualstatus,MII VS Onkologie Beurteilung des lokalen Residualstatus,"Value Set für oBDS-Codes für die Beurteilung des lokalen Residualstatus","StructureDefinition/mii-pr-onko-operation,StructureDefinition/mii-pr-onko-mamma-operation,StructureDefinition/mii-pr-onko-prostata-operation,StructureDefinition/mii-pr-onko-mamma-sozialdienst,StructureDefinition/mii-pr-onko-melanom-exzision,StructureDefinition/mii-pr-onko-krk-operation","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-fernmetastasen,2026.0.3,active,,MII_VS_Onko_Fernmetastasen,MII VS Onkologie Fernmetastasen,"Value Set für oBDS-Codes für Fernmetastasen","StructureDefinition/mii-pr-onko-fernmetastasen","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-genetische-variante-auspraegung,2026.0.3,active,,MII_VS_Onko_Genetische_Variante_Auspraegung,MII_VS Onkologie Genetische Variante Ausprägung,"Value Set für oBDS-Codes für Ausprägung der Genetischen Variante","StructureDefinition/mii-pr-onko-genetische-variante","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-gesamtbeurteilung-residualstatus,2026.0.3,active,,MII_VS_Onko_Gesamtbeurteilung_Residualstatus,MII VS Onkologie Gesamtbeurteilung des Residualstatus,"Value Set für oBDS-Codes für die Gesamtbeurteilung des Residualstatus","StructureDefinition/mii-pr-onko-residualstatus","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-grading,2026.0.3,active,,MII_VS_Onko_Grading,MII VS Onkologie Grading,"Codes für Histologie Grading. Gibt den Differenzierungsgrad des Tumors entsprechend der aktuellen TNM-Auflage an.","StructureDefinition/mii-pr-onko-grading","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-icd10-meldepflichtige-tumoren,2026.0.3,active,,MII_VS_Onko_ICD10_Meldepflichtige_Tumoren,MII VS Onkologie ICD-10-GM Meldepflichtige Tumoren,"ICD-10-GM-Codes der nach KFRG/§65c krebsregister-meldepflichtigen Neubildungen: bösartige Neubildungen (C00-C97), In-situ-Neubildungen (D00-D09), gutartige Neubildungen der Meningen, des Gehirns/ZNS und intrakranieller endokriner Strukturen (D32, D33, D35.2-D35.4) sowie Neubildungen unsicheren oder unbekannten Verhaltens (D37-D48, einschließlich hämatologischer Entitäten D45-D47).",,"de.basisprofil.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-icdo3-morphologie,2026.0.3,active,,MII_VS_Onko_ICDO3_Morphologie,MII VS Onkologie ICD-O-3 Morphologie,"Codes für histologische Morphologie und Verhalten einer neoplastischen Veränderung","StructureDefinition/mii-pr-onko-histologie-icdo3,StructureDefinition/mii-ex-onko-histology-morphology-behavior-icdo3,StructureDefinition/mii-pr-onko-diagnose-primaertumor","THO"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-icdo3-morphologie-2014,2026.0.3,active,,MII_VS_Onko_ICDO3_Morphologie_2014,MII VS Onkologie ICD-O-3 Morphologie 2014,"Codes für histologische Morphologie und Verhalten einer neoplastischen Veränderung gemäß ICD-O-3 Erste Revision (deutsche Ausgabe 2014).","ConceptMap/mii-cm-onko-icdo3-transitions-2019","THO"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-icdo3-morphologie-2019,2026.0.3,active,,MII_VS_Onko_ICDO3_Morphologie_2019,MII VS Onkologie ICD-O-3 Morphologie 2019,"Codes für histologische Morphologie und Verhalten einer neoplastischen Veränderung gemäß ICD-O-3 Zweite Revision (deutsche Ausgabe 2019).","ConceptMap/mii-cm-onko-icdo3-transitions-2019","THO"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-icdo3-topographie,2026.0.3,active,,MII_VS_Onko_ICDO3_Topographie,MII VS Onkologie ICD-O-3 Topographie,"Codes für Topographie einer neoplastischen Veränderung","StructureDefinition/mii-pr-onko-histologie-icdo3,StructureDefinition/mii-pr-onko-fernmetastasen,StructureDefinition/mii-pr-onko-diagnose-primaertumor,StructureDefinition/mii-pr-onko-fruehere-tumorerkrankung","THO"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-icdo3-topographie-2014,2026.0.3,active,,MII_VS_Onko_ICDO3_Topographie_2014,MII VS Onkologie ICD-O-3 Topographie 2014,"Codes für die Topographie einer neoplastischen Veränderung gemäß ICD-O-3 Erste Revision (deutsche Ausgabe 2014).",,"THO"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-icdo3-topographie-2019,2026.0.3,active,,MII_VS_Onko_ICDO3_Topographie_2019,MII VS Onkologie ICD-O-3 Topographie 2019,"Codes für die Topographie einer neoplastischen Veränderung gemäß ICD-O-3 Zweite Revision (deutsche Ausgabe 2019).",,"THO"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-kdl-dokumentklassen,2026.0.3,active,,MII_VS_Onko_KDL_Dokumentklassen,MII VS Onkologie KDL Dokumentklassen,"Kuratierte Auswahl der KDL-Dokumentklassen (KDL 2025) entlang des onkologischen Behandlungspfads (oBDS-Kapitel: Diagnose/Pathologie, Staging-Bildgebung, Tumorkonferenz, Operation, Strahlentherapie, Systemische Therapie, Verlauf/Labor, Tod, Studien, übergreifende Dokumente) als Begleitartefakt für DocumentReference.type. Teilmenge des KDL-Bindings im MII-KDS-Modul Dokument; deprecated-Klassen sind ausgeschlossen.",,"Other"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-koerperstruktur-sct,2026.0.3,active,,MII_VS_Onko_Koerperstruktur_SCT,MII VS Onkologie Körperstruktur (SNOMED CT),"SNOMED CT Körperstrukturen (Body structure) zur optionalen exakten Lokalisationsangabe (z.B. bei Fernmetastasen).","StructureDefinition/mii-pr-onko-fernmetastasen","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-krk-abstand-circumferelle-resektionsrand,2026.0.3,active,,MII_VS_Onko_KRK_Abstand_Circumferelle_Resektionsrand,MII VS Onkologie KRK Abstand Circumferelle Resektionsrand,"Value Set für semantische Kodierung des oBDS-Abstand des Tumorrandes zur circumferellen Resektionsrand im Kolorektalen Karzinom","StructureDefinition/mii-pr-onko-krk-abstand-circumferelle-resektionsebene","LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-krk-abstand-resektionslinie-aboral,2026.0.3,active,,MII_VS_Onko_KRK_Abstand_Resektionslinie_Aboral,MII VS Onkologie KRK Abstand Resektionslinie Aboral,"Value Set für semantische Kodierung des oBDS-Abstand des Tumorrandes zur aboralen Resektionslinie im Kolorektalen Karzinom","StructureDefinition/mii-pr-onko-krk-abstand-aboral","LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-krk-anastomoseninsuffizienz,2026.0.3,active,,MII_VS_Onko_KRK_Anastomoseninsuffizienz,MII VS Onkologie KRK Anastomoseninsuffizienz,"Value Set für die Bewertung der Anastomoseninsuffizienz beim Kolorektalen Karzinom","StructureDefinition/mii-pr-onko-krk-anastomoseninsuffizienz","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-krk-mrt-mesorektale-faszie-status,2026.0.3,active,,MII_VS_Onko_KRK_MRT_Mesorektale_Faszie_Status,MII VS Onkologie KRK MRT Mesorektale Faszie Status,"Value Set für semantische Kodierung des oBDS-Status der MRT/CT Untersuchung zur mesorektalen Faszie beim Kolorektalen Karzinom (KR5)","StructureDefinition/mii-pr-onko-krk-mrt-mesorektale-faszie","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-krk-stoma-anzeichnung,2026.0.3,active,,MII_VS_Onko_KRK_Stoma_Anzeichnung,MII VS Onkologie KRK Stoma Anzeichnung,"Value Set für semantische Kodierung der oBDS-präoperativen Stoma-Anzeichnung beim Rektumkarzinom","ConceptMap/mii-cm-onko-krk-stoma-obds-sct","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-krk-stoma-status-reason,2026.0.3,active,,MII_VS_Onko_KRK_Stoma_Status_Reason,MII VS Onkologie KRK Stoma Status Reason,"Value Set für SNOMED CT Codes zur Begründung des Status der präoperativen Stoma-Anzeichnung","StructureDefinition/mii-pr-onko-krk-stoma-markierung","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-krk-tme-qualitaet,2026.0.3,active,,MII_VS_Onko_KRK_TME_Qualitaet,MII VS Onkologie KRK TME Qualität,"Value Set für semantische Kodierung des oBDS-Abstand des Tumorrandes zur aboralen Resektionslinie im Kolorektalen Karzinom","StructureDefinition/mii-pr-onko-krk-specimen","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-mamma-faerbeintensitaet,2026.0.3,active,,MII_VS_Onko_Mamma_Faerbeintensitaet,MII VS Onkologie Mamma Färbeintensität,"Färbeintensität der immunhistochemischen Rezeptorbestimmung (Weak, Moderate, Strong). Enumerierte Fassung der LOINC-Answer-List LL4358-9.","StructureDefinition/mii-pr-onko-mamma-rezeptorstatus-estrogen,StructureDefinition/mii-pr-onko-mamma-rezeptorstatus-progesteron","LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-mamma-her2neu-ihc-score,2026.0.3,active,,MII_VS_Onko_Mamma_Her2neu_IHC_Score,MII VS Onkologie Mamma Her2neu IHC Score,"HER2-Score der Immunhistochemie (0, 1+, 2+, 3+, Indeterminate). Enumerierte Fassung der LOINC-Answer-List LL4396-9.","StructureDefinition/mii-pr-onko-mamma-her2neu-status","LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-mamma-her2neu-status-leitlinie,2026.0.3,active,,MII_VS_Onko_Mamma_Her2neu_Status_Leitlinie,MII VS Onkologie Mamma Her2neu Status Leitlinie,"Value Set für Her2neu Status nach S3-Leitlinie und ASCO/CAP Guidelines","StructureDefinition/mii-pr-onko-mamma-her2neu-status","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-mamma-her2neu-status-obds,2026.0.3,active,,MII_VS_Onko_Mamma_Her2neu_Status_oBDS,MII VS Onkologie Mamma Her2neu Status oBDS,"Value Set für Her2neu Status nach oBDS","StructureDefinition/mii-pr-onko-mamma-her2neu-status","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-mamma-intraoperatives-imaging-praeparat,2026.0.3,active,,MII_VS_Onko_Mamma_Intraoperatives_Imaging_Praeparat,MII VS Onkologie Mamma Intraoperatives Imaging Präparat,"Value Set für intraoperatives Imaging des Präparats nach Exzision bei Mamma-Karzinom","StructureDefinition/mii-pr-onko-mamma-operation","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-mamma-ish-ergebnis,2026.0.3,active,,MII_VS_Onko_Mamma_ISH_Ergebnis,MII VS Onkologie Mamma ISH Ergebnis,"Ergebnis der In-situ-Hybridisierung (ISH/FISH): Positive, Negative, Equivocal (LOINC-Answer-Codes).","StructureDefinition/mii-pr-onko-mamma-her2neu-status","LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-mamma-menopause-status,2026.0.3,active,,MII_VS_Onko_Mamma_Menopause_Status,MII VS Onkologie Mamma Menopause Status,"Value Set für (prätherapeutischen) Status der Menopause Score","StructureDefinition/mii-pr-onko-mamma-menopause-status","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-mamma-operation-ops,2026.0.3,active,,MII_VS_Onko_Mamma_Operation_OPS,MII VS Onkologie Mamma Operation OPS,"Value Set für Mamma-Operationen basierend auf OPS","StructureDefinition/mii-pr-onko-mamma-operation","de.basisprofil.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-mamma-operation-sct,2026.0.3,active,,MII_VS_Onko_Mamma_Operation_SCT,MII VS Onkologie Mamma Operation SNOMED CT,"Value Set für Mamma-Operationen basierend auf SNOMED CT","StructureDefinition/mii-pr-onko-mamma-operation","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-mamma-praeoperative-markierung-modalitaet,2026.0.3,active,,MII_VS_Onko_Mamma_Praeoperative_Markierung_Modalitaet,MII VS Onkologie Mamma Präoperative Markierung Modalität,"Value Set für Imagingmodalität der präoperativen Markierung bei Mamma-Karzinom","StructureDefinition/mii-pr-onko-mamma-operation,StructureDefinition/mii-pr-onko-mamma-praeoperative-markierung","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-mamma-rezeptorstatus-leitlinie,2026.0.3,active,,MII_VS_Onko_Mamma_Rezeptorstatus_Leitlinie,MII VS Onkologie Mamma Rezeptorstatus Leitlinie,"Value Set für oBDS-Rezeptorstatus Mamma","StructureDefinition/mii-pr-onko-mamma-rezeptorstatus-estrogen,StructureDefinition/mii-pr-onko-mamma-rezeptorstatus-progesteron","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-mamma-rezeptorstatus-obds,2026.0.3,active,,MII_VS_Onko_Mamma_Rezeptorstatus_oBDS,MII VS Onkologie Mamma Rezeptorstatus oBDS,"Value Set für oBDS-Rezeptorstatus Mamma","StructureDefinition/mii-pr-onko-mamma-rezeptorstatus-estrogen,StructureDefinition/mii-pr-onko-mamma-rezeptorstatus-progesteron","LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-melanom-exzision-snomedct,2026.0.3,active,,MII_VS_Onko_Melanom_Exzision_SNOMEDCT,MII VS Onko Melanom Exzision SNOMED CT,"Value Set für Melanom-spezifische Exzisionen basierend auf SNOMED CT. Enthält den Code für Melanom-Exzision. Weitere anatomische Details können über bodySite kodiert werden.","StructureDefinition/mii-pr-onko-melanom-exzision","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-melanom-ldh,2026.0.3,active,,MII_VS_Onko_Melanom_LDH,MII VS Onkologie Melanom LDH,"Value Set für Laktatdehydrogenase (LDH) Laborwerte beim Malignen Melanom","StructureDefinition/mii-pr-onko-melanom-ldh","LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-melanom-ulzeration,2026.0.3,active,,MII_VS_Onko_Melanom_Ulzeration,MII VS Onkologie Melanom Ulzeration,"Codes für die Ulzeration beim Malignen Melanom der Haut","StructureDefinition/mii-pr-onko-melanom-ulzeration","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-nebenwirkung-art,2026.0.3,active,,MII_VS_Onko_Nebenwirkung_Art,MII VS Onkologie Nebenwirkung nach CTCAE Art,"Alle MedDRA-Codes der CTCAE v4.03 (Art der Nebenwirkung). Deutsche/englische Displays via CodeSystem-Supplements mii-cs-onko-nebenwirkung-meddra-de/-en.","StructureDefinition/mii-pr-onko-nebenwirkung-adverse-event","hl7.terminology.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-nebenwirkung-ctcae-grad,2026.0.3,active,,MII_VS_Onko_Nebenwirkung_CTCAE_Grad,MII VS Onkologie Nebenwirkung nach CTCAE Grad,"oBDS-spezifisches ValueSet für Nebenwirkung nach CTCAE-Grad","StructureDefinition/mii-pr-onko-nebenwirkung-adverse-event","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-operation-intention,2026.0.3,active,,MII_VS_Onko_Operation_Intention,MII VS Onkologie Operation Intention,"Value Set für oBDS-Codes für Klassifikation von Intention der OP","StructureDefinition/mii-pr-onko-operation,StructureDefinition/mii-pr-onko-mamma-operation,StructureDefinition/mii-pr-onko-prostata-operation,StructureDefinition/mii-ex-onko-operation-intention,StructureDefinition/mii-pr-onko-mamma-sozialdienst,StructureDefinition/mii-pr-onko-melanom-exzision,StructureDefinition/mii-pr-onko-krk-operation","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-operation-komplikation,2026.0.3,active,,MII_VS_Onko_Operation_Komplikation,MII VS Onkologie Operation Komplikationen,"Value Set für oBDS-Codes für Klassifikation von Komplikationen während der OP","StructureDefinition/mii-pr-onko-operation,StructureDefinition/mii-pr-onko-mamma-operation,StructureDefinition/mii-pr-onko-prostata-operation,StructureDefinition/mii-pr-onko-mamma-sozialdienst,StructureDefinition/mii-pr-onko-melanom-exzision,StructureDefinition/mii-pr-onko-krk-operation","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-operation-urgency,2026.0.3,active,,MII_VS_Onko_Operation_Urgency,MII VS Onkologie Operation Urgency,"Value Set für semantische Kodierung der oBDS-Modalität der Eingriffsdurchführung (Art des Eingriffs KR6)","StructureDefinition/mii-pr-onko-operation,StructureDefinition/mii-pr-onko-mamma-operation,StructureDefinition/mii-pr-onko-prostata-operation,StructureDefinition/mii-pr-onko-mamma-sozialdienst,StructureDefinition/mii-ex-onko-operation-urgency,StructureDefinition/mii-pr-onko-melanom-exzision,StructureDefinition/mii-pr-onko-krk-operation","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-ops-nuklearmedizin,2026.0.3,active,,MII_VS_Onko_OPS_Nuklearmedizin,MII VS Onkologie OPS Nuklearmedizin,"OPS-Codes für Nuklearmedizinische Therapie","StructureDefinition/mii-pr-onko-strahlentherapie-bestrahlung-nuklearmedizin","de.basisprofil.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-ops-strahlentherapie,2026.0.3,active,,MII_VS_Onko_OPS_Strahlentherapie,MII VS Onkologie OPS Strahlentherapie,"OPS-Codes für Strahlentherapie","StructureDefinition/mii-pr-onko-strahlentherapie-bestrahlung-strahlentherapie","de.basisprofil.r4"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-primaertumor-diagnosesicherung,2026.0.3,active,,MII_VS_Onko_Primaertumor_Diagnosesicherung,MII VS Onkologie Primärtumor Diagnosesicherung,"Codes für Primärtumor Diagnosesicherung, d.h. die höchste erreichte Diagnosesicherheit der Diagnose.","StructureDefinition/mii-pr-onko-diagnose-primaertumor","Internal"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-prostata-clavien-dindo,2026.0.3,active,,MII_VS_Onko_Prostata_Clavien_Dindo,MII VS Onkologie Prostata Clavien Dindo,"Value Set für Gleason Score","StructureDefinition/mii-pr-onko-prostate-clavien-dindo","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-prostata-gleason-patterns,2026.0.3,active,,MII_VS_Onko_Prostata_Gleason_Patterns,MII VS Onkologie Prostata Gleason Patterns,"Value Set für die histopathologische Bewertung von Prostata-Adenokarzinomen mittels Gleason-Patterns. Dieser Value Set wird verwendet, um die verschiedenen Gleason-Patterns zu kodieren, die bei der Beurteilung von Prostatakarzinomen auftreten können.","StructureDefinition/mii-pr-onko-prostate-gleason-patterns","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-prostata-gleason-primary-secondary-tertiary,2026.0.3,active,,MII_VS_Onko_Prostata_Gleason_PrimarySecondaryTertiary,MII VS Onkologie Prostata Gleason Primary Secondary Tertiary,"Value Set für Primär-, Sekundär- und Tertiär-Gleason Patterns in der Onkologie Prostata. Der häufigste Gleason Pattern wird als primär, der zweithäufigste als sekundär und (seltener, meistens bei Gleason Pattern 5) der dritthäufigste als tertiär bezeichnet. Diese Value Set wird verwendet, um die verschiedenen Gleason Patterns zu kodieren, die bei der Beurteilung von Prostatakarzinomen auftreten können.","StructureDefinition/mii-pr-onko-prostate-gleason-patterns","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-prostata-gleason-score,2026.0.3,active,,MII_VS_Onko_Prostata_Gleason_Score,MII VS Onkologie Prostata Gleason Score,"Value Set für den Gleason Score in Kombination mit der ISUP Grade Group. Da ISUP Grade Groups erst ab einem Gleason-Gesamtscore von 6 definiert sind, deckt dieses Value Set nur Scores >= 6 ab. Liegt nur das Score-Ergebnis ohne Grade Group vor oder ein Gesamtscore < 6, ist MII_VS_Onko_Prostata_Gleason_Score_Gesamt zu verwenden.","StructureDefinition/mii-pr-onko-prostate-gleason-grade-group","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-onko/ValueSet/mii-vs-onko-prostata-gleason-score-gesamt,2026.0.3,active,,MII_VS_Onko_Prostata_Gleason_Score_Gesamt,MII VS Onkologie Prostata Gleason Score Gesamt,"Value Set für den Gleason-Gesamtscore (Summe aus primärem und sekundärem Pattern) ohne Aufschlüsselung in Primär-/Sekundär-Pattern. Enthält die Scores 2 bis 10 aus der SNOMED-CT-Hierarchie unterhalb von 385377005 (Gleason grade finding for prostatic cancer). Damit sind auch Gesamtscores < 6 abbildbar, wie sie bei TURP-Material und in historischen Befunden vorkommen. Ein Gesamtscore 1 existiert nicht, da sich der Score aus zwei Patterns mit Werten ab 1 zusammensetzt. Die ISUP Grade Groups sind bewusst nicht enthalten; sie werden über MII_VS_Onko_Prostata_Gleason_Score abgebildet.","StructureDefinition/mii-pr-onko-prostate-gleason-score-gesamt","SCT"
