"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Onkologie LogicalModel MII Onkologie Mapping","Mapping: RIM Mapping"
"mii-lm-mvgenomseq-onkologie","mii-lm-mvgenomseq-onkologie","","","",0,*,"","","","null {[]} {[]}
","MII LM Modellvorhaben Genomsequenzierung Onkologie","MII LogicalModel Modellvorhaben Genomsequenzierung Onkologie","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.extension","mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.modifierExtension","mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.ArtTherapie","mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.ArtTherapie","","","",1,1,"","","","code {[]} {[]}
","Bezug zur operativen Therapie","Bezug der Vortherapie zu einer operativen Therapie, z.B. adjuvant, neoadjuvant","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.ArtTherapie",1,1,"","","Procedure.extension.where(url='StellungZurOp')"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.IntentionTherapie","mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.IntentionTherapie","","","",0,1,"","","","code {[]} {[]}
","Intention","Intention der Vortherapie, z.B. kurativ, palliativ","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.IntentionTherapie",0,1,"","","Procedure.extension.where(url='Intention')"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.Substanz","mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.Substanz","","","",0,*,"","","","code {[]} {[]}
","Substanz","Substanz der Vortherapie nach ATC oder Text bei nicht-ATC-Wirkstoffen","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.Substanz",0,*,"","","MedicationStatement.medicationCode.coding[atc-de].code"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.Therapiestart","mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.Therapiestart","","","",0,1,"","","","date {[]} {[]}
","Startdatum","Startdatum der Vortherapie. Wenn Datum unbekannt, dann 15. des Monats","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.Therapiestart",0,1,"","","Procedure.effectivePeriod.start"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.Therapieende","mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.Therapieende","","","",0,1,"","","","date {[]} {[]}
","Enddatum","Enddatum der Vortherapie. Wenn Datum unbekannt, dann 15. des Monats","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.Therapieende",0,1,"","","Procedure.effectivePeriod.end"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.EndeGrund","mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.EndeGrund","","","",0,1,"","","","code {[]} {[]}
","Ende der Therapie","Grund für das Ende der Vortherapie","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.EndeGrund",0,1,"","","Procedure.outcome"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.TherapieAnsprechen","mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.TherapieAnsprechen","","","",0,1,"","","","code {[]} {[]}
","Ansprechen","Therapieansprechen der fallrelevante, systemische Vortherapie (PD: Progression, SD:Stabile Erkrankung, PR:Partielle Remission, CR:Komplette Remission)","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.TherapieAnsprechen",0,1,"","","Verlauf.valueCodeableConcept.coding.code"
"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.TherapieAnsprechenDatum","mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.TherapieAnsprechenDatum","","","",0,1,"","","","date {[]} {[]}
","Datum","Datum des Ansprechens der Vortherapie","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieFall.SystemischeVortherapien.TherapieAnsprechenDatum",0,1,"","","Verlauf.effectiveDateTime"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular","mii-lm-mvgenomseq-onkologie.OnkologieMolekular","","","",0,*,"","","","BackboneElement {[]} {[]}
","Molekulare Diagnostik","Molekulare Diagnostik","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.id","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.extension","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.modifierExtension","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante","","","",0,*,"","","","BackboneElement {[]} {[]}
","Einfache Variante inkl. Fusionen im codierenden Bereich","Einfache Variante inkl. Fusionen im codierenden Bereich","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.id","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.extension","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.modifierExtension","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.Identifier","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.Identifier","","","",0,1,"","","","string {[]} {[]}
","Identifier","interner Identifikator der Variante","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.Identifier",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.Gen","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.Gen","","","",1,1,"","","","code {[]} {[]}
","Gen","Gen kodiert nach HGNC","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.Gen",1,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.Transkript","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.Transkript","","","",0,1,"","","","code {[]} {[]}
","Transkript","Transkript kodiert nach Ensembl/RefSeq","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.Transkript",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.DNAChange","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.DNAChange","","","",0,1,"","","","code {[]} {[]}
","DNA-Veränderung","DNA-Verändung nach cHGVS","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.DNAChange",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.ProteinChange","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.ProteinChange","","","",0,1,"","","","code {[]} {[]}
","Protein-Veränderung","Protein-Veränderung nach pHGVS","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.ProteinChange",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.TypAlteration","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.TypAlteration","","","",0,1,"","","","code {[]} {[]}
","Typ der Alteration","Typ der Alteration / Variantenklasse nach Sequence ontology (SO)","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.TypAlteration",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.Lokalization","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.Lokalization","","","",0,1,"","","","code {[]} {[]}
","Lokalisation der Variante","Lokalisation im kodierenden, regulatorischen oder intergenischen Bereich","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.Lokalization",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.LossOfHeterozygosity","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.LossOfHeterozygosity","","","",0,1,"","","","code {[]} {[]}
","Loss of Heterozygosity (LOH)","Loss of Heterozygosity (LOH) im Bereich der Variante Ja / Nein","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.EinfacheVariante.LossOfHeterozygosity",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante","","","",0,*,"","","","BackboneElement {[]} {[]}
","Variante mit Kopienzahlveränderung (Copy Number Variation, CNV)","Variante mit Kopienzahlveränderung (Copy Number Variation, CNV)","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.id","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.extension","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.modifierExtension","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.Identifier","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.Identifier","","","",0,1,"","","","string {[]} {[]}
","Identifier","interner Identifikator der Variante","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.Identifier",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.CNVTyp","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.CNVTyp","","","",0,*,"","","","BackboneElement {[]} {[]}
","CNV-Typ","Komplettverlust, partieller Verlust, Amplifikation","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.CNVTyp",0,*,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.Quellprobe","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.Quellprobe","","","",0,1,"","","","code {[]} {[]}
","Art der Quellprobe","Art der Quellprobe (somatisch oder Keimbahn)","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.Quellprobe",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.Gen","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.Gen","","","",0,1,"","","","code {[]} {[]}
","Gen","Gen kodiert nach HGNC - falls nur ein Gen betreffend","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.Gen",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.Chromosom","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.Chromosom","","","",0,1,"","","","code {[]} {[]}
","Chromosom","Chromosom","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.Chromosom",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.CNVStartPosition","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.CNVStartPosition","","","",0,1,"","","","integer {[]} {[]}
","CNV-Start","Startposition des CNV basierend auf Hg38","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.CNVStartPosition",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.CNVEndPosition","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.CNVEndPosition","","","",0,1,"","","","integer {[]} {[]}
","CNV-Ende","Endposition des CNV basierend auf Hg38","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.CNVEndPosition",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.CopyNumber","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.CopyNumber","","","",0,1,"","","","integer {[]} {[]}
","Copy Number","Copy Number","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.CopyNumber",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.Lokalization","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.Lokalization","","","",0,1,"","","","code {[]} {[]}
","Lokalisation der Variante","Lokalisation im kodierenden, regulatorischen oder intergenischen Bereich","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.CopyNumberVariante.Lokalization",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante","","","",0,*,"","","","BackboneElement {[]} {[]}
","Strukturelle Variante","Strukturelle Variante","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.id","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.extension","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.modifierExtension","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.Identifier","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.Identifier","","","",0,1,"","","","string {[]} {[]}
","Identifier","interner Identifikator der Variante","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.Identifier",0,1,"",""
"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.Quellprobe","mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.Quellprobe","","","",0,1,"","","","code {[]} {[]}
","Art der Quellprobe","Art der Quellprobe (somatisch oder Keimbahn)","","","","","","","","","",,,,,"",,,,"mii-lm-mvgenomseq-onkologie.OnkologieMolekular.StrukturelleVariante.Quellprobe",0,1,"",""
