page	lang	kind	source	gate	line	excerpt
ConceptMap-mii-cm-onko-strahlentherapie-strahleneinheit-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Strahlentherapie-Strahleneinheit.page.md	B	3	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-strahlentherapie-zielgebiet-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Strahlentherapie-Zielgebiet.page.md	B	6	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-strahlentherapie-zielgebiet-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Strahlentherapie-Zielgebiet.page.md	B	5	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-studienteilnahme-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Studienteilnahme.page.md	B	2	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-studienteilnahme-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Studienteilnahme.page.md	B	1	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-therapie-ende-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Therapie-Ende-Grund.page.md	B	6	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-therapie-ende-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Therapie-Ende-Grund.page.md	B	5	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-therapie-stellung-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Therapie-Stellung.page.md	B	4	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-therapie-stellung-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Therapie-Stellung.page.md	B	3	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-therapie-typ-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Therapietyp.page.md	B	4	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-therapie-typ-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Therapietyp.page.md	B	3	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-therapieabweichung-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Therapieabweichung.page.md	B	4	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-therapieabweichung-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Therapieabweichung.page.md	B	3	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-therapieplanung-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Therapieplanung.page.md	B	4	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-therapieplanung-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Therapieplanung.page.md	B	3	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-tod-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Tod.page.md	B	5	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-tod-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Tod.page.md	B	4	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-verlauf-fernmetastasen-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Verlauf-Fernmetastasen.page.md	B	4	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-verlauf-fernmetastasen-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Verlauf-Fernmetastasen.page.md	B	3	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-verlauf-gesamtbeurteilung-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Verlauf-Gesamtbeurteilung.page.md	B	4	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-verlauf-gesamtbeurteilung-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Verlauf-Gesamtbeurteilung.page.md	B	3	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-verlauf-lymphknoten-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Verlauf-Lymphknoten.page.md	B	4	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-verlauf-lymphknoten-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Verlauf-Lymphknoten.page.md	B	3	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
ConceptMap-mii-cm-onko-verlauf-primaertumor-sct-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Verlauf-Primaertumor.page.md	B	4	The complete mapping table is generated from the ConceptMap below this introduction.
ConceptMap-mii-cm-onko-verlauf-primaertumor-sct-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/oBDS-SNOMED-CT-Mapping/Verlauf-Primaertumor.page.md	B	3	Die vollständige Mapping-Tabelle wird unterhalb dieser Einleitung aus der ConceptMap generiert.
StructureDefinition-mii-ex-onko-histology-morphology-behavior-icdo3-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Diagnose/Extension-ICD-O-3-Morphologie.page.md	B	7	The follow-up histology profile is described in the artefact view: [MII PR Onkologie Histologie ICD-O-3](StructureDefini
StructureDefinition-mii-ex-onko-histology-morphology-behavior-icdo3-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Diagnose/Extension-ICD-O-3-Morphologie.page.md	B	6	Das Verlaufshistologieprofil ist in der Artefaktdarstellung beschrieben: [MII PR Onkologie Histologie ICD-O-3](Structure
StructureDefinition-mii-ex-onko-operation-urgency-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Operation/Extension-Urgency.page.md	B	22	The codes it contains are listed in the artefact view: [MII CS Onkologie Operation Urgency](CodeSystem-mii-cs-onko-opera
StructureDefinition-mii-ex-onko-operation-urgency-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Operation/Extension-Urgency.page.md	B	33	The oBDS mappings are recorded in the artefact view of this profile: [MII EX Onko Operation Urgency](StructureDefinition
StructureDefinition-mii-ex-onko-operation-urgency-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Operation/Extension-Urgency.page.md	B	20	Die enthaltenen Codes sind in der Artefaktdarstellung aufgeführt: [MII CS Onkologie Operation Urgency](CodeSystem-mii-cs
StructureDefinition-mii-ex-onko-operation-urgency-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Operation/Extension-Urgency.page.md	B	31	Die oBDS-Mappings sind in der Artefaktdarstellung des Profils hinterlegt: [MII EX Onko Operation Urgency](StructureDefin
StructureDefinition-mii-ex-onko-tnm-cp-praefix-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/TNM-Klassifikation/Extension-TNM-Prefix-c-p.page.md	B	11	The profiles concerned are described in the artefact view: [MII PR Onkologie TNM T-Kategorie](StructureDefinition-mii-pr
StructureDefinition-mii-ex-onko-tnm-cp-praefix-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/TNM-Klassifikation/Extension-TNM-Prefix-c-p.page.md	B	9	Die betroffenen Profile sind in der Artefaktdarstellung beschrieben: [MII PR Onkologie TNM T-Kategorie](StructureDefinit
StructureDefinition-mii-pr-onko-asa-klassifikation-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Allgemeiner-Leistungszustand/ASA-Klassifikation-Observation.page.md	B	27	The metadata and the expansion of the value set are shown on the page [mii-vs-onko-asa-obds](ValueSet-mii-vs-onko-asa-ob
StructureDefinition-mii-pr-onko-asa-klassifikation-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Allgemeiner-Leistungszustand/ASA-Klassifikation-Observation.page.md	B	26	Metadaten und Expansion des ValueSets sind auf der Seite [mii-vs-onko-asa-obds](ValueSet-mii-vs-onko-asa-obds.html) darg
StructureDefinition-mii-pr-onko-befund-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Histologie/Histologiebefund-DiagnosticReport.page.md	B	13	The mapping of the dataset fields is documented in the logical model: [MII LM Onkologie](StructureDefinition-mii-lm-onko
StructureDefinition-mii-pr-onko-befund-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Histologie/Histologiebefund-DiagnosticReport.page.md	B	21	The oBDS mappings are recorded in the artefact view of this profile: [MII PR Onkologie Befund](StructureDefinition-mii-p
StructureDefinition-mii-pr-onko-befund-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Histologie/Histologiebefund-DiagnosticReport.page.md	B	11	Die Zuordnung der Datensatzfelder ist im logischen Modell dokumentiert: [MII LM Onkologie](StructureDefinition-mii-lm-on
StructureDefinition-mii-pr-onko-befund-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Histologie/Histologiebefund-DiagnosticReport.page.md	B	19	Die oBDS-Mappings sind in der Artefaktdarstellung des Profils hinterlegt: [MII PR Onkologie Befund](StructureDefinition-
StructureDefinition-mii-pr-onko-genetische-variante-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Genetische-Variante/Genetische-Variante-Observation.page.md	B	48	The mapping of the dataset fields is documented in the logical model: [MII LM Onkologie](StructureDefinition-mii-lm-onko
StructureDefinition-mii-pr-onko-genetische-variante-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Genetische-Variante/Genetische-Variante-Observation.page.md	B	56	The oBDS mappings are recorded in the artefact view of this profile: [MII PR Onkologie Genetische Variante](StructureDef
StructureDefinition-mii-pr-onko-genetische-variante-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Genetische-Variante/Genetische-Variante-Observation.page.md	B	46	Die Zuordnung der Datensatzfelder ist im logischen Modell dokumentiert: [MII LM Onkologie](StructureDefinition-mii-lm-on
StructureDefinition-mii-pr-onko-genetische-variante-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Genetische-Variante/Genetische-Variante-Observation.page.md	B	54	Die oBDS-Mappings sind in der Artefaktdarstellung des Profils hinterlegt: [MII PR Onkologie Genetische Variante](Structu
StructureDefinition-mii-pr-onko-krk-abstand-aboral-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/KolorektalesKarzinom/KRK-Abstand-Resektionsrand-Aboral-Observation.page.md	B	26	The codes it contains are listed in the artefact view: [MII VS Onkologie KRK Abstand Resektionslinie Aboral](ValueSet-mi
StructureDefinition-mii-pr-onko-krk-abstand-aboral-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/KolorektalesKarzinom/KRK-Abstand-Resektionsrand-Aboral-Observation.page.md	B	30	The codes it contains are listed in the artefact view: [MII VS Onkologie KRK Abstand Resektionslinie Aboral](ValueSet-mi
StructureDefinition-mii-pr-onko-krk-abstand-aboral-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/KolorektalesKarzinom/KRK-Abstand-Resektionsrand-Aboral-Observation.page.md	B	38	The mapping of the dataset fields is documented in the logical model: [MII LM Onkologie Organspezifische Zusatzmodule](S
StructureDefinition-mii-pr-onko-krk-abstand-aboral-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/KolorektalesKarzinom/KRK-Abstand-Resektionsrand-Aboral-Observation.page.md	B	46	The oBDS mappings are recorded in the artefact view of this profile: [MII PR Onkologie Abstand Aboral](StructureDefiniti
StructureDefinition-mii-pr-onko-krk-abstand-aboral-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/KolorektalesKarzinom/KRK-Abstand-Resektionsrand-Aboral-Observation.page.md	B	24	Die enthaltenen Codes sind in der Artefaktdarstellung aufgeführt: [MII VS Onkologie KRK Abstand Resektionslinie Aboral](
StructureDefinition-mii-pr-onko-krk-abstand-aboral-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/KolorektalesKarzinom/KRK-Abstand-Resektionsrand-Aboral-Observation.page.md	B	28	Die enthaltenen Codes sind in der Artefaktdarstellung aufgeführt: [MII VS Onkologie KRK Abstand Resektionslinie Aboral](
StructureDefinition-mii-pr-onko-krk-abstand-aboral-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/KolorektalesKarzinom/KRK-Abstand-Resektionsrand-Aboral-Observation.page.md	B	36	Die Zuordnung der Datensatzfelder ist im logischen Modell dokumentiert: [MII LM Onkologie Organspezifische Zusatzmodule]
StructureDefinition-mii-pr-onko-krk-abstand-aboral-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/KolorektalesKarzinom/KRK-Abstand-Resektionsrand-Aboral-Observation.page.md	B	44	Die oBDS-Mappings sind in der Artefaktdarstellung des Profils hinterlegt: [MII PR Onkologie Abstand Aboral](StructureDef
StructureDefinition-mii-pr-onko-krk-abstand-anokutan-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/KolorektalesKarzinom/KRK-Abstand-Tumor-Anokutanlinie-Observation.page.md	B	33	The mapping of the dataset fields is documented in the logical model: [MII LM Onkologie Organspezifische Zusatzmodule](S
StructureDefinition-mii-pr-onko-krk-abstand-anokutan-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/KolorektalesKarzinom/KRK-Abstand-Tumor-Anokutanlinie-Observation.page.md	B	41	The oBDS mappings are recorded in the artefact view of this profile: [MII PR Onkologie Abstand Anokutan](StructureDefini
StructureDefinition-mii-pr-onko-krk-abstand-anokutan-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/KolorektalesKarzinom/KRK-Abstand-Tumor-Anokutanlinie-Observation.page.md	B	31	Die Zuordnung der Datensatzfelder ist im logischen Modell dokumentiert: [MII LM Onkologie Organspezifische Zusatzmodule]
StructureDefinition-mii-pr-onko-krk-abstand-anokutan-intro	de	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/KolorektalesKarzinom/KRK-Abstand-Tumor-Anokutanlinie-Observation.page.md	B	39	Die oBDS-Mappings sind in der Artefaktdarstellung des Profils hinterlegt: [MII PR Onkologie Abstand Anokutan](StructureD
StructureDefinition-mii-pr-onko-krk-abstand-circumferelle-resektionsebene-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/KolorektalesKarzinom/KRK-Abstand-Circumferelle-Resektionsebene-Observation.page.md	B	26	The codes it contains are listed in the artefact view: [MII VS Onkologie KRK Abstand Circumferelle Resektionsrand](Value
StructureDefinition-mii-pr-onko-krk-abstand-circumferelle-resektionsebene-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/KolorektalesKarzinom/KRK-Abstand-Circumferelle-Resektionsebene-Observation.page.md	B	35	The mapping of the dataset fields is documented in the logical model: [MII LM Onkologie Organspezifische Zusatzmodule](S
StructureDefinition-mii-pr-onko-krk-abstand-circumferelle-resektionsebene-intro	default	bridge	MIIIGModulOnkologie/TechnischeImplementierung/FHIR-Profile/Organspezifische-Module/KolorektalesKarzinom/KRK-Abstand-Circumferelle-Resektionsebene-Observation.page.md	B	43	The oBDS mappings are recorded in the artefact view of this profile: [MII PR Onkologie Abstand Circumferelle Resektionse
